iter	F1	Logloss
0	0.7368598566	0.689085133
1	0.7456624376	0.6880511674
2	0.7615838244	0.6837660346
3	0.7703198738	0.6811876999
4	0.815478412	0.678952341
5	0.8101860433	0.6774737483
6	0.8066957963	0.674295204
7	0.811942517	0.6704398627
8	0.8101860433	0.6679841208
9	0.8084371527	0.6651741648
10	0.8066957963	0.6638719088
11	0.7898645693	0.6623776853
12	0.8084371527	0.660005031
13	0.8003541387	0.6547065983
14	0.7985865721	0.6518844661
15	0.7448912324	0.6511735459
16	0.8003541387	0.6506507001
17	0.8003541387	0.6476550722
18	0.7985865721	0.6475387941
19	0.8003541387	0.6461784404
20	0.8021295471	0.6433787996
21	0.8057040995	0.643162876
22	0.8226434037	0.6416122249
23	0.8208403779	0.6374885148
24	0.8190452384	0.6361355863
25	0.8172579334	0.635481998
26	0.8172579334	0.6314296643
27	0.8190452384	0.6290715435
28	0.8172579334	0.6279332276
29	0.8283445323	0.6249669295
30	0.8265772627	0.6226273715
31	0.8283445323	0.6188091803
32	0.8283445323	0.6181329644
33	0.8248175179	0.6154986158
34	0.8101860433	0.6120438783
35	0.8301193752	0.6104644621
36	0.8354898333	0.6083283105
37	0.8372954612	0.6066787849
38	0.8409302322	0.6028786472
39	0.8445966985	0.600662028
40	0.8427594776	0.5988023092
41	0.8427594776	0.5963589693
42	0.8587889185	0.5936853319
43	0.8762343245	0.5913964678
44	0.8762343245	0.5907130494
45	0.8743803648	0.5894199567
46	0.8762343245	0.5871693112
47	0.8743803648	0.5861432366
48	0.8743803648	0.5847169525
49	0.8743803648	0.5831229169
50	0.8743803648	0.58130192
51	0.8725342339	0.5803021046
52	0.8725342339	0.5785942116
53	0.8743803648	0.5767376969
54	0.8762343245	0.5740737749
55	0.8743803648	0.5712818869
56	0.8725342339	0.5708783013
57	0.8725342339	0.569378503
58	0.8725342339	0.5686264743
59	0.8725342339	0.5680129258
60	0.8725342339	0.5669425596
61	0.8725342339	0.5665586947
62	0.8725342339	0.5649880224
63	0.8725342339	0.5628477749
64	0.8743803648	0.5608878038
65	0.8743803648	0.5597013016
66	0.8762343245	0.5582187953
67	0.8932806321	0.557185481
68	0.8780961629	0.556359968
69	0.8932806321	0.5554110176
70	0.8762343245	0.5536605558
71	0.8914121792	0.5529536069
72	0.8932806321	0.5516645773
73	0.8762343245	0.5502692904
74	0.8762343245	0.5492053354
75	0.8914121792	0.5482828294
76	0.8914121792	0.5478486009
77	0.8914121792	0.5450423446
78	0.8895515264	0.5448035479
79	0.8743803648	0.5438697234
80	0.8743803648	0.5435258597
81	0.8743803648	0.542388378
82	0.8762343245	0.5392002209
83	0.8762343245	0.5375596783
84	0.8762343245	0.5367140932
85	0.8780961629	0.5362632817
86	0.8762343245	0.5350777018
87	0.8762343245	0.5342380118
88	0.8762343245	0.5335227522
89	0.8743803648	0.5324497272
90	0.8743803648	0.531583416
91	0.8743803648	0.5312159136
92	0.8762343245	0.5295301081
93	0.8762343245	0.5281426232
94	0.8743803648	0.5265398295
95	0.8743803648	0.5254146681
96	0.8743803648	0.524427314
97	0.8762343245	0.5216053281
98	0.8762343245	0.5212847921
99	0.8743803648	0.5199104327
