iter	Passed	Remaining
0	179	17782
1	184	9040
2	189	6140
3	193	4634
4	196	3742
5	202	3170
6	208	2764
7	212	2442
8	216	2188
9	220	1981
10	224	1818
11	229	1684
12	232	1557
13	235	1448
14	239	1356
15	243	1278
16	246	1203
17	249	1136
18	252	1077
19	258	1035
20	262	989
21	265	942
22	269	901
23	272	863
24	276	829
25	279	794
26	282	762
27	286	735
28	291	712
29	294	686
30	297	662
31	301	639
32	304	617
33	307	597
34	310	577
35	313	557
36	316	539
37	320	522
38	323	506
39	326	489
40	329	474
41	334	461
42	337	447
43	340	433
44	344	420
45	348	408
46	351	396
47	355	385
48	358	373
49	362	362
50	365	351
51	368	340
52	371	329
53	374	318
54	377	309
55	381	299
56	384	290
57	390	282
58	395	274
59	399	266
60	403	258
61	411	251
62	415	244
63	419	235
64	424	228
65	428	220
66	432	212
67	435	205
68	440	197
69	444	190
70	448	183
71	453	176
72	458	169
73	462	162
74	465	155
75	472	149
76	479	143
77	482	136
78	485	129
79	490	122
80	494	115
81	496	109
82	499	102
83	504	96
84	508	89
85	510	83
86	514	76
87	517	70
88	522	64
89	526	58
90	529	52
91	532	46
92	536	40
93	540	34
94	543	28
95	546	22
96	549	17
97	555	11
98	558	5
99	562	0
