iter	Passed	Remaining
0	183	18189
1	188	9243
2	192	6211
3	195	4703
4	199	3796
5	204	3197
6	208	2764
7	212	2445
8	216	2193
9	221	1991
10	225	1827
11	230	1691
12	234	1572
13	238	1465
14	242	1371
15	246	1293
16	250	1223
17	253	1157
18	257	1098
19	262	1048
20	265	1000
21	269	954
22	272	912
23	276	876
24	279	839
25	283	805
26	286	773
27	289	744
28	294	721
29	298	695
30	301	671
31	304	647
32	309	627
33	312	607
34	315	586
35	319	568
36	323	550
37	327	534
38	330	517
39	333	500
40	337	485
41	342	472
42	349	463
43	355	452
44	359	439
45	363	426
46	366	413
47	369	400
48	373	388
49	377	377
50	380	365
51	385	355
52	388	344
53	392	334
54	399	326
55	403	317
56	407	307
57	412	298
58	419	291
59	424	283
60	429	274
61	435	266
62	440	258
63	445	250
64	452	243
65	456	235
66	460	227
67	465	219
68	470	211
69	474	203
70	479	195
71	483	188
72	487	180
73	491	172
74	496	165
75	500	158
76	504	150
77	508	143
78	512	136
79	516	129
80	520	122
81	524	115
82	528	108
83	532	101
84	536	94
85	539	87
86	543	81
87	547	74
88	550	68
89	554	61
90	561	55
91	565	49
92	569	42
93	575	36
94	578	30
95	584	24
96	588	18
97	594	12
98	598	6
99	602	0
